"collection","name","feature_id","symbol","direction"
"ChenColonna2021","Homeostatic","ENSMUSG00000054675","Tmem119","down"
"ChenColonna2021","Homeostatic","ENSMUSG00000036353","P2ry12","down"
"ChenColonna2021","Homeostatic","ENSMUSG00000036362","P2ry13","down"
"ChenColonna2021","Homeostatic","ENSMUSG00000024621","Csf1r","down"
"ChenColonna2021","Homeostatic","ENSMUSG00000021665","Hexb","down"
"ChenColonna2021","Homeostatic","ENSMUSG00000027447","Cst3","down"
"ChenColonna2021","Homeostatic","ENSMUSG00000052336","Cx3cr1","down"
"ChenColonna2021","Homeostatic","ENSMUSG00000051504","Siglech","down"
"ChenColonna2021","Homeostatic","ENSMUSG00000007613","Tgfbr1","down"
"ChenColonna2021","Homeostatic","ENSMUSG00000031665","Sall1","down"
"ChenColonna2021","Homeostatic","ENSMUSG00000048163","Selplg","down"
"ChenColonna2021","Homeostatic","ENSMUSG00000030557","Mef2a","down"
"ChenColonna2021","Homeostatic","ENSMUSG00000052684","Jun","down"
"ChenColonna2021","Homeostatic","ENSMUSG00000054523","Ms4a5","down"
"ChenColonna2021","Homeostatic","ENSMUSG00000024381","Bin1","down"
"ChenColonna2021","DAM-like","ENSMUSG00000030342","Cd9","up"
"ChenColonna2021","DAM-like","ENSMUSG00000002985","Apoe","up"
"ChenColonna2021","DAM-like","ENSMUSG00000023992","Trem2","up"
"ChenColonna2021","DAM-like","ENSMUSG00000030579","Tyrobp","up"
"ChenColonna2021","DAM-like","ENSMUSG00000079293","Clec7a","up"
"ChenColonna2021","DAM-like","ENSMUSG00000025351","Cd63","up"
"ChenColonna2021","DAM-like","ENSMUSG00000050335","Lgals3","up"
"ChenColonna2021","DAM-like","ENSMUSG00000002602","Axl","up"
"ChenColonna2021","DAM-like","ENSMUSG00000029304","Spp1","up"
"ChenColonna2021","DAM-like","ENSMUSG00000005054","Cstb","up"
"ChenColonna2021","DAM-like","ENSMUSG00000016256","Ctsz","up"
"ChenColonna2021","DAM-like","ENSMUSG00000007891","Ctsd","up"
"ChenColonna2021","DAM-like","ENSMUSG00000015568","Lpl","up"
"ChenColonna2021","DAM-like","ENSMUSG00000030789","Itgax","up"
"ChenColonna2021","DAM-like","ENSMUSG00000060802","B2m","up"
"ChenColonna2021","DAM-like","ENSMUSG00000068129","Cst7","up"
"ChenColonna2021","DAM-like","ENSMUSG00000014599","Csf1","up"
"ChenColonna2021","DAM-like","ENSMUSG00000020053","Igf1","up"
"ChenColonna2021","DAM-like","ENSMUSG00000112148","Lilrb4a","up"
"ChenColonna2021","DAM-like","ENSMUSG00000041515","Irf8","up"
"ChenColonna2021","DAM-like","ENSMUSG00000024661","Fth1","up"
"ChenColonna2021","DAM-like","ENSMUSG00000069516","Lyz2","up"
"ChenColonna2021","DAM-like","ENSMUSG00000000982","Ccl3","up"
"ChenColonna2021","DAM-like","ENSMUSG00000018927","Ccl6","up"
"ChenColonna2021","DAM-like","ENSMUSG00000017466","Timp2","up"
"ChenColonna2021","IFN","ENSMUSG00000025498","Irf7","up"
"ChenColonna2021","IFN","ENSMUSG00000025492","Ifitm3","up"
"ChenColonna2021","IFN","ENSMUSG00000045932","Ifit2","up"
"ChenColonna2021","IFN","ENSMUSG00000074896","Ifit3","up"
"ChenColonna2021","IFN","ENSMUSG00000034855","Cxcl10","up"
"ChenColonna2021","IFN","ENSMUSG00000029561","Oasl2","up"
"ChenColonna2021","IFN","ENSMUSG00000030156","Cd69","up"
"ChenColonna2021","IFN","ENSMUSG00000035692","Isg15","up"
"ChenColonna2021","IFN","ENSMUSG00000030107","Usp18","up"
"ChenColonna2021","MHC","ENSMUSG00000073411","H2-D1","up"
"ChenColonna2021","MHC","ENSMUSG00000061232","H2-K1","up"
"ChenColonna2021","MHC","ENSMUSG00000060586","H2-Eb1","up"
"ChenColonna2021","MHC","ENSMUSG00000036594","H2-Aa","up"
"ChenColonna2021","MHC","ENSMUSG00000073421","H2-Ab1","up"
"ChenColonna2021","MHC","ENSMUSG00000024610","Cd74","up"
"ChenColonna2021","Cyc-M","ENSMUSG00000020914","Top2a","up"
"ChenColonna2021","Cyc-M","ENSMUSG00000031004","Mki67","up"
"ChenColonna2021","Cyc-M","ENSMUSG00000045328","Cenpe","up"
"ChenColonna2021","Cyc-M","ENSMUSG00000005410","Mcm5","up"
"ChenColonna2021","Cyc-M","ENSMUSG00000017716","Birc5","up"
"ChenColonna2021","Cyc-M","ENSMUSG00000037894","H2az1","up"
"ChenColonna2021","Cyc-M","ENSMUSG00000041126","H2az2","up"
"topics","Homeostasis","ENSMUSG00000029343","Crybb1","up"
"topics","Homeostasis","ENSMUSG00000076431","Sox4","up"
"topics","Homeostasis","ENSMUSG00000049436","Upk1b","up"
"topics","Homeostasis","ENSMUSG00000038400","Pmepa1","up"
"topics","Homeostasis","ENSMUSG00000069662","Marcks","up"
"topics","Homeostasis","ENSMUSG00000038393","Txnip","up"
"topics","Homeostasis","ENSMUSG00000079227","Ccr5","up"
"topics","Homeostasis","ENSMUSG00000030054","Gp9","up"
"topics","Homeostasis","ENSMUSG00000070348","Ccnd1","up"
"topics","Homeostasis","ENSMUSG00000040339","Fam102b","up"
